사용일자	호선명	역명	승차총승객수	하차총승객수	등록일자	승하차
20180112	3호선	고속터미널	62396	61014	20180115	123410
20180126	2호선	신도림	61633	61332	20180129	122965
20180112	2호선	선릉	66123	56788	20180115	122911
20180124	2호선	선릉	65838	56943	20180127	122781
20180112	2호선	역삼	58857	63846	20180115	122703
20180126	2호선	역삼	58444	63642	20180129	122086
20180113	2호선	신도림	60691	61081	20180116	121772
20180203	2호선	신도림	60425	61032	20180206	121457
20180206	2호선	신도림	61222	60146	20180209	121368
20180122	2호선	신도림	61336	59632	20180125	120968
20180128	2호선	잠실(송파구청)	62918	57897	20180131	120815
20180211	2호선	잠실(송파구청)	62900	57592	20180214	120492
20180120	2호선	신도림	59863	60326	20180123	120189
20180127	2호선	신림	60828	59258	20180130	120086
20180123	2호선	신도림	60536	58942	20180126	119478
20180205	2호선	신도림	60480	58982	20180208	119462
20180125	2호선	신도림	60379	58995	20180128	119374
20180119	2호선	서울대입구(관악구청)	60685	57876	20180122	118561
20180113	경부선	영등포	57396	61000	20180116	118396
20180212	3호선	고속터미널	59765	58393	20180215	118158
20180129	2호선	신도림	59648	58058	20180201	117706
20180112	1호선	서울역	60507	57114	20180115	117621
20180120	경부선	영등포	56506	60756	20180123	117262
20180204	2호선	잠실(송파구청)	61076	55923	20180207	116999
20180124	2호선	신도림	58641	57418	20180127	116059
20180119	2호선	을지로입구	58198	57524	20180122	115722
20180126	1호선	서울역	58952	56299	20180129	115251
20180117	2호선	서울대입구(관악구청)	58390	56784	20180120	115174
20180130	2호선	을지로입구	58714	56001	20180202	114715
20180212	1호선	서울역	57630	56930	20180215	114560
20180208	2호선	서울대입구(관악구청)	57521	56191	20180211	113712
20180131	2호선	을지로입구	56680	56917	20180203	113597
20180118	2호선	서울대입구(관악구청)	57613	55599	20180121	113212
20180203	경부선	영등포	54885	58310	20180206	113195
20180201	2호선	을지로입구	56679	56472	20180204	113151
20180208	2호선	을지로입구	56398	56477	20180211	112875
20180118	2호선	을지로입구	56510	56321	20180121	112831
20180115	2호선	서울대입구(관악구청)	57053	55744	20180118	112797
20180212	2호선	서울대입구(관악구청)	57326	55447	20180215	112773
20180201	2호선	서울대입구(관악구청)	57285	55331	20180204	112616
20180207	2호선	을지로입구	56653	55960	20180210	112613
20180208	3호선	고속터미널	58039	54541	20180211	112580
20180117	2호선	을지로입구	56156	56202	20180120	112358
20180207	2호선	서울대입구(관악구청)	56646	55491	20180210	112137
20180131	2호선	서울대입구(관악구청)	56958	55133	20180203	112091
20180114	2호선	강남	56469	55592	20180117	112061
20180130	2호선	서울대입구(관악구청)	56325	55378	20180202	111703
20180118	1호선	서울역	56955	54677	20180121	111632
20180127	2호선	신도림	55676	55856	20180130	111532
20180112	2호선	을지로입구	55733	55746	20180115	111479
20180119	경부선	영등포	53330	58067	20180122	111397
20180112	2호선	서울대입구(관악구청)	57037	54243	20180115	111280
20180208	1호선	서울역	56825	54453	20180211	111278
20180121	2호선	강남	56352	54868	20180124	111220
20180211	2호선	강남	56538	54554	20180214	111092
20180212	2호선	을지로입구	55505	55578	20180215	111083
20180115	1호선	서울역	56046	54758	20180118	110804
20180122	2호선	서울대입구(관악구청)	56035	54680	20180125	110715
20180122	1호선	서울역	56266	54430	20180125	110696
20180126	2호선	을지로입구	55047	55098	20180129	110145
20180119	1호선	종각	55585	54527	20180122	110112
20180117	1호선	서울역	56290	53691	20180120	109981
20180114	3호선	고속터미널	56057	53741	20180117	109798
20180118	3호선	고속터미널	56359	53321	20180121	109680
20180119	2호선	신촌	53270	56298	20180122	109568
20180206	2호선	서울대입구(관악구청)	55433	53886	20180209	109319
20180121	3호선	고속터미널	55503	53767	20180124	109270
20180206	2호선	을지로입구	54429	54764	20180209	109193
20180207	3호선	고속터미널	56242	52846	20180210	109088
20180128	2호선	강남	54836	54083	20180131	108919
20180127	경부선	영등포	52657	56161	20180130	108818
20180126	2호선	서울대입구(관악구청)	55382	53100	20180129	108482
20180115	2호선	을지로입구	53925	54517	20180118	108442
20180130	1호선	서울역	55653	52614	20180202	108267
20180204	2호선	강남	55157	53099	20180207	108256
20180211	3호선	고속터미널	54320	53844	20180214	108164
20180205	2호선	서울대입구(관악구청)	54933	53045	20180208	107978
20180123	2호선	서울대입구(관악구청)	54965	52980	20180126	107945
20180117	1호선	종각	55139	52709	20180120	107848
20180201	3호선	고속터미널	55581	52213	20180204	107794
20180204	3호선	고속터미널	54577	53180	20180207	107757
20180130	3호선	고속터미널	55333	52253	20180202	107586
20180129	2호선	서울대입구(관악구청)	54394	52966	20180201	107360
20180205	2호선	을지로입구	53554	53683	20180208	107237
20180201	1호선	서울역	54880	52279	20180204	107159
20180122	2호선	을지로입구	53755	53323	20180125	107078
20180119	2호선	사당	49273	57775	20180122	107048
20180123	2호선	을지로입구	53592	53434	20180126	107026
20180124	2호선	을지로입구	53294	53653	20180127	106947
20180207	1호선	서울역	54675	52169	20180210	106844
20180128	3호선	고속터미널	54437	52406	20180131	106843
20180131	1호선	서울역	54026	52493	20180203	106519
20180118	1호선	종각	54591	51876	20180121	106467
20180115	3호선	고속터미널	54707	51648	20180118	106355
20180119	2호선	강변(동서울터미널)	53799	52470	20180122	106269
20180129	2호선	을지로입구	52797	53411	20180201	106208
20180122	3호선	고속터미널	55189	50924	20180125	106113
20180125	2호선	을지로입구	53016	53066	20180128	106082
20180112	1호선	종각	53585	52464	20180115	106049
20180212	2호선	신촌	52731	53234	20180215	105965
20180117	3호선	고속터미널	54349	51528	20180120	105877
20180206	3호선	고속터미널	54568	51189	20180209	105757
20180125	2호선	서울대입구(관악구청)	53706	51727	20180128	105433
20180112	2호선	신촌	51341	53968	20180115	105309
20180124	2호선	서울대입구(관악구청)	53380	51514	20180127	104894
20180131	3호선	고속터미널	54052	50802	20180203	104854
20180129	1호선	서울역	53487	51317	20180201	104804
20180205	3호선	고속터미널	54242	50552	20180208	104794
20180119	2호선	건대입구	48610	56029	20180122	104639
20180123	1호선	서울역	53210	51334	20180126	104544
20180125	1호선	서울역	53271	51113	20180128	104384
20180130	1호선	종각	54759	49526	20180202	104285
20180205	1호선	서울역	52828	51197	20180208	104025
20180129	3호선	고속터미널	53621	50114	20180201	103735
20180112	경부선	영등포	49541	53949	20180115	103490
20180113	2호선	신촌	51136	52333	20180116	103469
20180208	1호선	종각	52848	50570	20180211	103418
20180125	3호선	고속터미널	53463	49899	20180128	103362
20180117	2호선	신촌	50983	52350	20180120	103333
20180123	3호선	고속터미널	53395	49920	20180126	103315
20180131	1호선	종각	52802	50179	20180203	102981
20180119	3호선	양재(서초구청)	50612	52367	20180122	102979
20180120	2호선	강변(동서울터미널)	51711	51062	20180123	102773
20180212	1호선	종각	52718	49997	20180215	102715
20180206	1호선	서울역	52348	50184	20180209	102532
20180126	1호선	종각	52056	50291	20180129	102347
20180130	7호선	가산디지털단지	52269	50067	20180202	102336
20180207	1호선	종각	52441	49777	20180210	102218
20180212	7호선	가산디지털단지	51115	51056	20180215	102171
20180120	1호선	서울역	50808	51224	20180123	102032
20180131	7호선	가산디지털단지	50423	51410	20180203	101833
20180122	1호선	종각	52335	49489	20180125	101824
20180115	1호선	종각	51904	49891	20180118	101795
20180120	2호선	신촌	50308	51469	20180123	101777
20180208	2호선	신촌	50418	51095	20180211	101513
20180120	경부선	수원	48351	52887	20180123	101238
20180201	1호선	종각	51662	49526	20180204	101188
20180113	1호선	서울역	51110	49921	20180116	101031
20180118	2호선	신촌	49828	51079	20180121	100907
20180117	7호선	가산디지털단지	50468	50437	20180120	100905
20180206	7호선	가산디지털단지	50600	50211	20180209	100811
20180207	7호선	가산디지털단지	50529	50273	20180210	100802
20180208	7호선	가산디지털단지	50356	50411	20180211	100767
20180123	1호선	종각	51506	49198	20180126	100704
20180207	2호선	신촌	49734	50934	20180210	100668
20180118	2호선	사당	46395	54152	20180121	100547
20180124	1호선	서울역	51281	49221	20180127	100502
20180113	경부선	수원	47644	52814	20180116	100458
20180205	7호선	가산디지털단지	50369	49852	20180208	100221
20180122	7호선	가산디지털단지	50561	49647	20180125	100208
20180119	7호선	가산디지털단지	50283	49890	20180122	100173
20180203	2호선	신촌	49219	50903	20180206	100122
20180115	7호선	가산디지털단지	49945	50156	20180118	100101
20180118	7호선	가산디지털단지	49838	50104	20180121	99942
20180201	7호선	가산디지털단지	49902	50017	20180204	99919
20180131	2호선	신촌	49102	50781	20180203	99883
20180115	2호선	신촌	49038	50746	20180118	99784
20180124	3호선	고속터미널	51379	48349	20180127	99728
20180208	2호선	사당	46047	53600	20180211	99647
20180120	2호선	건대입구	46066	53488	20180123	99554
20180206	1호선	종각	50821	48554	20180209	99375
20180208	3호선	양재(서초구청)	47834	51448	20180211	99282
20180130	2호선	신촌	49272	49996	20180202	99268
20180126	경부선	영등포	47710	51296	20180129	99006
20180112	2호선	사당	45285	53564	20180115	98849
20180123	7호선	가산디지털단지	49441	49379	20180126	98820
20180129	7호선	가산디지털단지	49391	49425	20180201	98816
20180125	1호선	종각	50899	47813	20180128	98712
20180205	1호선	종각	50544	48130	20180208	98674
20180117	2호선	사당	45351	53252	20180120	98603
20180126	2호선	신촌	47928	50641	20180129	98569
20180113	2호선	강변(동서울터미널)	49550	48972	20180116	98522
20180117	경부선	영등포	47888	50569	20180120	98457
20180118	3호선	양재(서초구청)	47695	50753	20180121	98448
20180124	1호선	종각	50716	47613	20180127	98329
20180212	경부선	영등포	47644	50485	20180215	98129
20180119	2호선	교대(법원.검찰청)	45861	52264	20180122	98125
20180118	경부선	영등포	47917	50080	20180121	97997
20180207	3호선	양재(서초구청)	47258	50737	20180210	97995
20180129	1호선	종각	50011	47935	20180201	97946
20180201	2호선	신촌	48377	49425	20180204	97802
20180117	3호선	양재(서초구청)	47293	50499	20180120	97792
20180201	2호선	사당	45076	52670	20180204	97746
20180112	2호선	건대입구	45092	52575	20180115	97667
20180130	3호선	양재(서초구청)	47489	49932	20180202	97421
20180113	2호선	건대입구	44853	52416	20180116	97269
20180208	경부선	영등포	47328	49906	20180211	97234
20180120	경부선	용산	47444	49787	20180123	97231
20180122	2호선	신촌	47964	49187	20180125	97151
20180117	2호선	건대입구	46322	50694	20180120	97016
20180112	2호선	강변(동서울터미널)	49068	47879	20180115	96947
20180113	경부선	용산	47383	49539	20180116	96922
20180125	7호선	가산디지털단지	48438	48483	20180128	96921
20180112	7호선	가산디지털단지	48738	48140	20180115	96878
20180203	2호선	강변(동서울터미널)	48544	48310	20180206	96854
20180120	2호선	삼성(무역센터)	47896	48745	20180123	96641
20180124	7호선	가산디지털단지	48524	48094	20180127	96618
20180131	3호선	양재(서초구청)	46365	50143	20180203	96508
20180131	경부선	영등포	46762	49706	20180203	96468
20180113	4호선	혜화	46871	49582	20180116	96453
20180201	3호선	양재(서초구청)	46506	49923	20180204	96429
20180114	2호선	신림	48512	47895	20180117	96407
20180126	7호선	가산디지털단지	48586	47763	20180129	96349
20180118	2호선	교대(법원.검찰청)	45303	51015	20180121	96318
20180121	2호선	신림	48403	47819	20180124	96222
20180206	3호선	양재(서초구청)	46556	49657	20180209	96213
20180112	3호선	양재(서초구청)	47529	48681	20180115	96210
20180130	2호선	사당	45245	50836	20180202	96081
20180205	2호선	신촌	47622	48422	20180208	96044
20180203	2호선	건대입구	44323	51572	20180206	95895
20180206	2호선	신촌	47448	48411	20180209	95859
20180118	2호선	건대입구	45927	49893	20180121	95820
20180115	경부선	영등포	46655	49039	20180118	95694
20180131	2호선	사당	44112	51410	20180203	95522
20180117	2호선	교대(법원.검찰청)	45046	50464	20180120	95510
20180201	경부선	영등포	46664	48834	20180204	95498
20180207	2호선	사당	44241	51190	20180210	95431
20180212	3호선	양재(서초구청)	45767	49590	20180215	95357
20180119	경부선	용산	47856	47339	20180122	95195
20180115	3호선	양재(서초구청)	45660	49328	20180118	94988
20180126	2호선	강변(동서울터미널)	48101	46872	20180129	94973
20180123	2호선	신촌	46903	48033	20180126	94936
20180126	3호선	양재(서초구청)	47126	47796	20180129	94922
20180208	2호선	건대입구	45408	49498	20180211	94906
20180203	1호선	서울역	47186	47389	20180206	94575
20180119	4호선	혜화	46441	48126	20180122	94567
